path,h0,hk,hmax,redundancy,lzc,lzc_normalized,ip
examples\MIDIS\HIMNOS\National_Anthems_-_Afghanistan.mid,3.1317653629419198,1.9877553683806133,3.700439718141092,1.712684349760479,3,0.05886796192477381,0.46283265779582594
examples\MIDIS\HIMNOS\National_Anthems_-_Argentina.mid,4.159905172341941,2.2033427338680673,4.754887502163468,2.551544768295401,7,0.08228823263383803,0.536615170629053
examples\MIDIS\HIMNOS\National_Anthems_-_Australia.mid,3.107596816189819,2.2909798972215425,3.807354922057604,1.5163750248360617,4,0.10192136590997664,0.3982751952152044
examples\MIDIS\HIMNOS\National_Anthems_-_Barbados.mid,3.7278314559227903,1.9054753929003876,4.0,2.094524607099612,2,0.03492723742412114,0.523631151774903
examples\MIDIS\HIMNOS\National_Anthems_-_Belgium.mid,3.509804233843771,1.7804763428545956,3.9068905956085187,2.126414252753923,5,0.11058645687642922,0.5442727920623339
examples\MIDIS\HIMNOS\National_Anthems_-_Bhutan.mid,2.1446417101754154,1.176588670465949,2.584962500721156,1.4083738302552071,3,0.07567806715072523,0.5448333698698906
examples\MIDIS\HIMNOS\National_Anthems_-_Chile.mid,4.3488383372680515,3.191750792219233,5.0,1.8082492077807668,8,0.08405546337502127,0.3616498415561533
examples\MIDIS\HIMNOS\National_Anthems_-_China.mid,2.7986399434373017,2.2861192826704198,3.169925001442312,0.8838057187718924,5,0.14023672189863046,0.27880966217489744
examples\MIDIS\HIMNOS\National_Anthems_-_Colombia.mid,3.7076780497067223,2.747778654119897,4.392317422778761,1.6445387686588635,9,0.08370787949463546,0.37441255045234423
examples\MIDIS\HIMNOS\National_Anthems_-_Costa_Rica.mid,3.1984491794906775,2.4472299642667923,4.087462841250339,1.6402328769835468,6,0.07966201902545461,0.40128386255416226
examples\MIDIS\HIMNOS\National_Anthems_-_Cuba.mid,4.586402088484687,3.1540889631827285,5.321928094887363,2.167839131704634,7,0.12264469230419679,0.4073409285231081
examples\MIDIS\HIMNOS\National_Anthems_-_El_Salvador.mid,4.03534774741414,2.997199913991239,5.129283016944966,2.1320831029537275,9,0.0657315879557155,0.41566883634812757
examples\MIDIS\HIMNOS\National_Anthems_-_France.mid,2.7544304874965837,2.059953687243999,3.9068905956085187,1.8469369083645195,6,0.11433660523865026,0.47273832301332963
examples\MIDIS\HIMNOS\National_Anthems_-_Greece.mid,3.3414567165161406,2.3776710029390014,3.9068905956085187,1.5292195926695173,5,0.13945020994619667,0.39141602644016027
examples\MIDIS\HIMNOS\National_Anthems_-_Guyana.mid,3.866948685295941,1.6298035709566452,4.087462841250339,2.4576592702936937,2,0.062300580149368706,0.6012676728192361
examples\MIDIS\HIMNOS\National_Anthems_-_Haiti.mid,3.8292278549466405,1.6901529440732614,4.087462841250339,2.3973098971770774,4,0.11716595185630597,0.5865031659697608
examples\MIDIS\HIMNOS\National_Anthems_-_Malta.mid,3.447525855469137,1.4211115881949679,3.584962500721156,2.163850912526188,4,0.1452527628211425,0.6035909474899402
examples\MIDIS\HIMNOS\National_Anthems_-_Mexico.mid,3.4146978150710368,2.6721137464807065,4.0,1.3278862535192935,6,0.0837544965344159,0.33197156337982336
examples\MIDIS\HIMNOS\National_Anthems_-_Netherlands.mid,3.6200220174730617,1.6615658853913307,4.0,2.3384341146086696,2,0.06634300641435247,0.5846085286521674
examples\MIDIS\HIMNOS\National_Anthems_-_New_Zealand.mid,3.8368718119788565,1.7084789306018175,4.0,2.2915210693981827,4,0.12303304209302506,0.5728802673495457
examples\MIDIS\HIMNOS\National_Anthems_-_Nicaragua.mid,3.7849915554666387,2.6177369712112273,4.321928094887363,1.7041911236761353,6,0.15211494934992392,0.39431269707890637
examples\MIDIS\HIMNOS\National_Anthems_-_North_Korea.mid,3.1984405817151984,2.439838307448123,3.700439718141092,1.2606014106929693,3,0.0902920431767661,0.3406625986941437
examples\MIDIS\HIMNOS\National_Anthems_-_Panama.mid,4.049606359882625,2.559307761816967,4.459431618637297,1.9001238568203305,6,0.07947331656925355,0.42609104014043964
examples\MIDIS\HIMNOS\National_Anthems_-_Peru.mid,3.8681438520430382,3.0927241992149517,4.459431618637297,1.3667074194223456,6,0.058108435997959,0.30647569831780064
examples\MIDIS\HIMNOS\National_Anthems_-_Russia.mid,3.5140852972333296,2.5480111400604475,4.087462841250339,1.5394517011898916,5,0.08891227304593224,0.3766276932609324
examples\MIDIS\HIMNOS\National_Anthems_-_Spain.mid,4.069446705825594,2.1575962219645706,4.392317422778761,2.23472120081419,6,0.07447082486875692,0.50877953155772
examples\MIDIS\HIMNOS\National_Anthems_-_Sweden.mid,3.042352784286765,2.3449340070764424,3.584962500721156,1.2400284936447137,2,0.09016844361019727,0.34589720070858976
examples\MIDIS\HIMNOS\National_Anthems_-_United_Kingdom.mid,2.456638040655277,1.0372772472951786,2.584962500721156,1.5476852534259775,4,0.1777117935264319,0.5987263850033424
examples\MIDIS\HIMNOS\National_Anthems_-_Uruguay.mid,4.8687119620125126,3.4347652194871183,5.426264754702098,1.9914995352149796,10,0.06400610717297282,0.3670111255609593
examples\MIDIS\HIMNOS\National_Anthems_-_Venezuela.mid,4.627820849120009,2.276000493819058,5.523561956057013,3.247561462237955,8,0.13343284285745743,0.5879469603263439
