path,h0,hk,hmax,redundancy,lzc,lzc_normalized,ip
examples\MIDIS\JAZZ\Andre_and_Schwandt_-_Dream_a_Little_Dream.mid,4.938425769275838,1.8381124404863411,5.357552004618084,3.5194395641317424,4,0.06681957971507602,0.6569118808549257
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_.mid,4.80131615137057,2.628082268931967,5.426264754702098,2.798182485770131,7,0.06212045692654162,0.5156737852397235
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Astronomy_Rag.mid,4.93159252069218,3.017693348289446,5.523561956057013,2.505868607767567,8,0.0862534211768837,0.45366895993982437
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Crop_Duster_Rag.mid,4.867740733336683,3.287600065006021,5.832890014164741,2.5452899491587204,8,0.06395363687430938,0.4363685828084658
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Delegate_Rag.mid,4.507113112738933,3.0107424856846805,5.247927513443585,2.2371850277589047,10,0.086228491263758,0.42629876689948953
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_My_Family_Foxtrot.mid,4.923218159972216,3.1997325796758376,5.643856189774724,2.444123610098887,8,0.05846319175784279,0.4330591581208316
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Red_Market_Rag.mid,5.185778662903861,3.2755266869454163,5.700439718141092,2.4249130311956755,10,0.06430552715229022,0.4253905226782114
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Stellar_Fingers.mid,5.41358882176888,3.146867527032396,5.930737337562887,2.783869810530491,8,0.052735208229925355,0.46939691510170034
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_The_Toys_R_Rag.mid,5.015242894677159,3.3169538859095526,5.643856189774724,2.3269023038651717,8,0.06913323115595026,0.4122894392810619
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Ultra_Dab_Rag.mid,3.8715206713340917,2.3470664676017026,4.169925001442312,1.8228585338406096,6,0.13443134070900717,0.43714420120508435
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_V_Man.mid,4.988809481780703,2.992784807695308,5.523561956057013,2.530777148361705,10,0.14623468700559342,0.45817846681098817
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Wall_Knocker_Shuffle.mid,4.703187362322225,3.04038576946386,5.459431618637297,2.4190458491734375,8,0.08277847535620501,0.4430948161188333
examples\MIDIS\JAZZ\Cameron_Lee_Simpson_-_Watermelon_Rag.mid,4.263164568822138,2.0525206437701398,5.169925001442312,3.1174043576721724,6,0.09840583891428244,0.6029883135253364
examples\MIDIS\JAZZ\Ensemble-_Isaac_Piano_Week_4_with_structure_(Piano_Modified_110_Bpm)_-_(Ensemble-_Isaac_Piano).mid,4.493221284443716,1.5993527025151812,5.129283016944966,3.529930314429785,9,0.08609455735290315,0.6881917614544565
examples\MIDIS\JAZZ\Ensemble-_Isaac_Piano_Week_4_with_structure__-_Ensamble__Geo_Drum_110_Bpm.mid,1.5387239893080489,1.120034652145941,2.584962500721156,1.464927848575215,6,0.06367837321668021,0.5667114506173794
examples\MIDIS\JAZZ\Freakin__Bullshit_Rankin_Bass_-_MAD_MAD_MAD_MONSTER_PARTY.mid,6.111439746555315,5.337153659678565,6.459431618637297,1.1222779589587324,2,0.016632057208861604,0.17374252491823605
examples\MIDIS\JAZZ\Giovannino_Giordo_-_Lu_Trabagliadori.mid,3.3987182390245816,2.020432433390683,3.700439718141092,1.6800072847504093,9,0.06136610275573099,0.4540020680554032
examples\MIDIS\JAZZ\Jacob_Allen_-_Test.mid,4.036472638466795,1.9109708398305851,4.459431618637297,2.548460778806712,10,0.13684122166479376,0.5714765909081178
examples\MIDIS\JAZZ\michel_petrucciani_caravan_solo_-_michel_petrucciani_caravan_solo.mid,5.046236081940609,2.281657955792851,5.523561956057013,3.241904000264162,7,0.14466278275106706,0.586922718719424
examples\MIDIS\JAZZ\Moab_Berckmans_de_Oliveira_-_MBOM06.mid,3.645077196737831,2.0894270703411233,4.321928094887363,2.2325010245462393,9,0.08240644937590898,0.5165520979368405
examples\MIDIS\JAZZ\Moab_Berckmans_de_Oliveira_-_MBOM07.mid,4.621313239447542,1.6162111396126984,4.807354922057604,3.1911437824449056,5,0.06131830257726536,0.6638044900331717
examples\MIDIS\JAZZ\Moab_Berckmans_de_Oliveira_-_MBOM10d.mid,3.5807112838896638,2.420521026974196,4.321928094887363,1.9014070679131665,8,0.06979331889643847,0.43994416986308527
examples\MIDIS\JAZZ\Moab_Berckmans_de_Oliveira_-_Moab_Berckmans_-_Medo.mid,3.5408693533956064,1.6022638482494387,4.0,2.3977361517505615,7,0.08297423700220646,0.5994340379376404
examples\MIDIS\JAZZ\Moab_Berckmans_de_Oliveira_-_Moab_Berckmans_-_MPM004.mid,3.1378453603589582,2.1142102716113227,3.321928094887362,1.2077178232760395,8,0.11426383018534121,0.363559291104099
"examples\MIDIS\JAZZ\Nightwish_-_Slow,_Love,_Slow.mid",4.079759094007151,1.83179431579383,4.807354922057604,2.975560606263774,7,0.04546328454733022,0.6189600423740296
examples\MIDIS\JAZZ\Nintendo_-_Dr._Mario.mid,5.040581361503597,3.6082250011335004,6.0,2.3917749988664996,9,0.04630258423002305,0.39862916647774993
